2018-09-10 16:01:11	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Red House
2018-09-11 08:58:33	UB40	UB40	Present Arms
2018-09-11 09:02:41	UB40	UB40	Sardonicus
2018-09-11 09:07:11	UB40	UB40	Don't Let It Pass You By
2018-09-11 09:18:00	UB40	UB40	One in Ten
2018-09-11 09:22:33	UB40	UB40	Don't Slow Down
2018-09-11 09:27:01	UB40	UB40	Silent Witness
2018-09-11 09:31:17	UB40	UB40	Lambs Bread
2018-09-11 09:36:05	UB40	UB40	Don't Walk On the Grass
2018-09-11 09:41:13	UB40	UB40	Dr X
2018-09-11 15:07:51	Cowboy Junkies	Cowboy Junkies	All That Reckoning, Pt. 1
2018-09-11 15:11:43	Cowboy Junkies	Cowboy Junkies	When We Arrive
2018-09-11 15:16:12	Cowboy Junkies	Cowboy Junkies	The Things We Do to Each Other
2018-09-11 15:20:08	Cowboy Junkies	Cowboy Junkies	Wooden Stairs
2018-09-11 15:24:28	Cowboy Junkies	Cowboy Junkies	SING ME A SONG
2018-09-11 15:28:49	Cowboy Junkies	Cowboy Junkies	Mountain Stream
2018-09-11 15:33:40	Cowboy Junkies	Cowboy Junkies	Missing Children
2018-09-11 15:37:20	Cowboy Junkies	Cowboy Junkies	Shining Teeth
2018-09-11 15:42:00	Cowboy Junkies	Cowboy Junkies	Nose Before Ear
2018-09-11 15:46:16	Cowboy Junkies	Cowboy Junkies	All That Reckoning, Pt. 2
2018-09-11 15:50:35	Cowboy Junkies	Cowboy Junkies	The Possessed
2018-09-11 16:17:35	David Bowie	David Bowie	Five Years (2012 Remastered Version)
2018-09-11 16:22:20	David Bowie	David Bowie	Soul Love (2012 Remastered Version)
2018-09-11 16:25:54	David Bowie	David Bowie	Moonage Daydream (2012 Remastered Version)
2018-09-11 16:30:34	David Bowie	David Bowie	Starman (2012 Remastered Version)
2018-09-11 16:35:48	David Bowie	David Bowie	It Ain't Easy (2012 Remastered Version)
2018-09-11 16:38:46	David Bowie	David Bowie	Lady Stardust (2012 Remastered Version)
2018-09-11 16:42:07	David Bowie	David Bowie	Star (2012 Remastered Version)
2018-09-11 16:44:55	David Bowie	David Bowie	Hang On to Yourself (2012 Remastered Version)
2018-09-11 16:47:35	David Bowie	David Bowie	Ziggy Stardust (2012 Remastered Version)
2018-09-11 16:50:49	David Bowie	David Bowie	Suffragette City (2012 Remastered Version)
2018-09-11 18:17:37	David Bowie	David Bowie	Rock 'N' Roll Suicide (2012 Remastered Version)
2018-09-12 08:50:44	Lloyd Cole	Lloyd Cole	Backwoods
2018-09-12 08:53:35	Lloyd Cole	Lloyd Cole	Old Enough To Know Better
2018-09-12 08:57:39	Lloyd Cole	Lloyd Cole	Another Lover
2018-09-12 09:00:05	Lloyd Cole	Lloyd Cole	39 Down
2018-09-12 09:01:33	Lloyd Cole	Lloyd Cole	Sunburst
2018-09-12 09:03:52	Lloyd Cole	Lloyd Cole	Memphis
2018-09-12 09:08:25	Lloyd Cole	Lloyd Cole	You're A Big Girl Now
2018-09-12 09:12:19	Lloyd Cole	Lloyd Cole	Alright People
2018-09-12 09:13:14	Lloyd Cole	Lloyd Cole	Santa Cruz
2018-09-12 09:15:31	Lloyd Cole	Lloyd Cole	Love Like This Can't Last
2018-09-12 09:17:53	Lloyd Cole	Lloyd Cole	Went To Woodstock
2018-09-12 09:21:13	Lloyd Cole	Lloyd Cole	Fool You Are (Demo)
2018-09-12 09:24:24	Lloyd Cole	Lloyd Cole	Weakness
2018-09-12 09:25:30	Lloyd Cole	Lloyd Cole	Backwoods (Reprise)
